開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
2014/10/19,4東京5,晴,11,アイルランドT(OP),,芝2000,8,良,1:58.3,35.8-35.8,エイシンヒカリ,横山典弘,[西]坂口正則,エックスマーク,スーパームーン
2014/10/19,4京都5,晴,9,もみじS(OP),,芝1400,10,良,1:21.6,35.2-34.4,アルマワイオリ,勝浦正樹,[西]西浦勝一,ワキノヒビキ,シゲルチャグチャグ
2014/10/19,4京都5,晴,11,秋華賞(G1),,芝2000,17,良,1:57.0,34.5-35.3,ショウナンパンドラ,浜中俊,[西]高野友和,ヌーヴォレコルト,タガノエトワール
2014/10/18,4東京4,晴,11,府中牝馬S(G2),,芝1800,13,良,1:45.7,35.0-34.2,ディアデラマドレ,藤岡康太,[西]角居勝彦,スマートレイアー,ホエールキャプチャ
2014/10/14,4京都3,曇,11,京都大賞典(G2),,芝2400,12,良,2:24.2,36.3-35.1,ラストインパクト,川田将雅,[西]松田博資,タマモベストプレイ,トーセンラー
2014/10/12,4東京2,晴,11,毎日王冠(G2),,芝1800,15,良,1:45.2,35.4-34.3,エアソミュール,武豊,[西]角居勝彦,サンレイレーザー,スピルバーグ
2014/10/12,4京都2,晴,11,夕刊フジ杯オパールS(OP),,芝1200,16,良,1:06.7,32.6-34.1,ヘニーハウンド,菱田裕二,[西]矢作芳人,エイシンブルズアイ,ルナフォンターナ
2014/10/11,4東京1,晴,11,いちょうS(G),,芝1600,12,良,1:33.5,34.4-34.9,クラリティスカイ,横山典弘,[西]友道康夫,ネオルミエール,ミッキーユニバース
2014/10/05,3新潟8,小雨,11,スプリンターズS(G1),,芝1200,18,良,1:08.8,33.7-35.1,スノードラゴン,大野拓弥,[東]高木登,ストレイトガール,レッドオーヴァル
2014/10/05,4阪神8,曇,11,ポートアイランドS(OP),,芝1600,13,良,1:33.9,36.5-33.5,オリービン,菱田裕二,[西]橋口弘次,アズマシャトル,サンライズメジャー
2014/10/04,3新潟7,曇,9,カンナS(OP),,芝1200,13,稍,1:10.6,34.8-35.8,サフィロス,三浦皇成,[東]手塚貴久,オールオブユー,トロピカルガーデン
2014/09/28,3新潟6,晴,9,芙蓉S(OP),,芝1800,8,良,1:52.8,39.6-32.2,ジャストドゥイング,北村宏司,[西]中竹和也,ロジチャリス,ストリートキャップ
2014/09/28,3新潟6,晴,11,産経賞オールカマー(G2),,芝2200,18,良,2:12.2,35.4-35.0,マイネルラクリマ,戸崎圭太,[東]上原博之,ラキシス,クリールカイザー
2014/09/28,4阪神6,晴,11,神戸新聞杯(G2),,芝2400,16,良,2:24.4,36.6-35.3,ワンアンドオンリー,横山典弘,[西]橋口弘次,サウンズオブアース,トーホウジャッカル
2014/09/27,4阪神5,晴,9,ききょうS(OP),,芝1400,11,良,1:21.6,35.1-34.7,ナヴィオン,福永祐一,[西]橋口弘次,ブリクスト,シゲルチャグチャグ
2014/09/21,3新潟4,晴,11,朝日セントライト記念(G2),,芝2200,18,良,2:11.7,35.1-36.0,イスラボニータ,蛯名正義,[東]栗田博憲,トゥザワールド,タガノグランパ
2014/09/21,4阪神4,晴,11,関西TVローズS(G2),,芝1800,17,良,1:46.0,35.1-34.2,ヌーヴォレコルト,岩田康誠,[東]斎藤誠,タガノエトワール,リラヴァティ
2014/09/20,4阪神3,曇,9,野路菊S(OP),,芝1800,7,良,1:48.4,36.9-34.0,ダノンメジャー,小牧太,[西]橋口弘次,シングウィズジョイ,グランカマラード
2014/09/14,3新潟2,晴,11,京成杯オータムH(G3),,芝1600,15,良,1:33.3,35.9-33.4,クラレント,田辺裕信,[西]橋口弘次,ブレイズアトレイル,ミトラ
2014/09/14,4阪神2,晴,11,セントウルS(G2),,芝1200,15,良,1:07.4,32.9-34.5,リトルゲルダ,丸田恭介,[西]鮫島一歩,ハクサンムーン,エピセアローム
