開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
2022/12/28,6阪神9,晴,2,2歳未勝利,,芝1200,16,良,1:09.9,35.1-34.8,アトモストリミッツ,北村友一,[西]池添学,ヴァルダリス,スイープラン
2022/12/28,6阪神9,晴,12,2022ファイナルS(3勝クラス),,芝1200,16,良,1:08.3,34.1-34.2,エイシンスポッター,角田大河,[西]吉村圭司,ヨシノイースター,ショウナンラスボス
2022/12/25,5中山8,晴,12,キャンドルライト賞(2勝クラス),,芝1200,16,良,1:08.8,33.7-35.1,ホウオウノーサイド,田辺裕信,[東]斎藤誠,ヒルノローザンヌ,イズンシーラブリー
2022/12/24,5中山7,晴,3,2歳未勝利,,芝1200,16,稍,1:09.8,33.8-36.0,マーレアペルト,田辺裕信,[東]菊川正達,マルプリ,ベストバディ
2022/12/18,6中京6,晴,10,有松特別(2勝クラス),,芝1200,16,良,1:08.5,33.2-35.3,アビエルト,荻野極,[西]杉山佳明,ガリレイ,サトノルーチェ
2022/12/17,6中京5,小雨,9,報知杯中京2歳S(OP),,芝1200,10,良,1:08.0,34.2-33.8,ビッグシーザー,幸英明,[西]西園正都,トレンディスター,ミルトクレイモー
2022/12/17,6阪神5,小雨,5,2歳新馬,,芝1200,9,良,1:10.9,35.5-35.4,ルンナノオクリモノ,国分優作,[西]大根田裕,トーホウランボ,モノセーラス
2022/12/17,6阪神5,小雨,11,タンザナイトS(OP),,芝1200,16,稍,1:08.2,33.4-34.8,グルーヴィット,岩田康誠,[西]松永幹夫,エレナアヴァンティ,ミニオンペール
2022/12/11,5中山4,曇,2,2歳未勝利,,芝1200,16,良,1:09.0,33.0-36.0,ワックスフラワー,黛弘人,[東]深山雅史,ソルエストレーラ,ラブスレンダー
2022/12/11,6中京4,晴,11,知立S(3勝クラス),,芝1200,16,良,1:07.2,33.4-33.8,マッドクール,藤岡康太,[西]池添学,エイシンスポッター,スンリ
2022/12/10,5中山3,晴,9,黒松賞(1勝クラス),,芝1200,11,良,1:08.2,33.2-35.0,ブーケファロス,菅原明良,[東]清水英克,クリノゴッホ,キガン
2022/12/10,6中京3,晴,12,3歳以上1勝クラス,,芝1200,18,良,1:08.3,34.4-33.9,ベンガン,岩田望来,[西]千田輝彦,イラーレ,ブランデーロック
2022/12/10,6阪神3,晴,7,2歳未勝利,,芝1200,16,良,1:09.1,34.0-35.1,テラステラ,鮫島克駿,[西]矢作芳人,サイレンスタイム,ルソレイユ
2022/12/10,6阪神3,晴,12,3歳以上2勝クラス,,芝1200,13,良,1:08.6,34.5-34.1,カフジテトラゴン,角田大河,[西]武英智,メイショウハボタン,ヤマニンプティパ
2022/12/04,5中山2,曇,9,南総S(3勝クラス),,芝1200,16,良,1:07.8,33.8-34.0,カンティーユ,横山武史,[東]嘉藤貴行,イルクオーレ,ショウナンラスボス
2022/12/04,5中山2,曇,11,ラピスラズリS(L),,芝1200,16,良,1:08.1,33.7-34.4,ジャスパージャック,北村宏司,[西]森秀行,シャインガーネット,フレッチア
2022/12/04,6阪神2,曇,9,さざんか賞(1勝クラス),,芝1200,8,良,1:08.2,34.1-34.1,ミルトクレイモー,岩田望来,[西]中村直也,ダンシングニードル,イコサン
2022/12/03,5中山1,曇,5,2歳新馬,,芝1200,16,良,1:09.8,34.3-35.5,フォースターデイズ,横山武史,[東]木村哲也,ステラヴェスパー,レゼルノワール
2022/12/03,5中山1,曇,12,3歳以上2勝クラス,,芝1200,16,良,1:08.2,33.2-35.0,ミッキーハーモニー,横山和生,[東]萩原清,イズンシーラブリー,ヨール
2022/11/27,5阪神8,晴,2,2歳未勝利,,芝1200,16,良,1:08.8,34.0-34.8,ソフィアエール,西村淳也,[西]杉山晴紀,ゼットカレン,テラステラ
