クラス,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
NoClass,132,121,104,91,65,69,74,79,76,56,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未勝利,886,898,841,886,905,891,908,944,947,987,971,1038,1034,1064,1082,1106,1139,1147,1169,1168,1163,1124,1133,1127,1143,1143,1086,1101,1165,1224,1245,1244,1230,1246,1245,1230,1228,1242,1218,1220,1227,1225,1235,1231,1238,1230,1242,1237
新馬,271,274,264,281,291,291,300,308,303,299,297,306,312,318,329,327,341,343,350,341,347,348,344,349,348,348,359,375,308,250,250,250,258,263,266,265,267,291,285,284,285,286,286,288,297,302,297,301
300万,671,812,851,794,154,,35,32,36,32,25,34,32,32,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900万,14,163,101,4,4,1,2,,,242,438,455,458,467,463,446,425,424,421,425,425,435,436,426,410,417,209,,,,,,,,,,,,,,,,,,,,,
OP,188,176,174,184,183,180,180,173,169,196,211,148,141,146,159,162,165,164,158,154,148,126,127,123,128,125,135,137,138,136,134,133,127,135,136,140,135,142,138,143,147,149,149,146,87,93,100,104
800万,120,11,12,7,265,490,484,481,467,236,,,,,,,,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500万,310,17,14,21,,,,,,,,,,,,992,989,988,996,1015,1026,1082,1069,1082,1078,1093,1133,1108,1128,1125,1116,1109,1117,1067,1058,1070,1096,1046,1080,1066,1059,1053,1039,1040,436,,,
200万,152,41,41,37,33,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600万,142,482,447,234,19,17,18,16,6,5,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200万,3,18,,,39,110,120,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700万,58,,,251,225,,,,,,,,13,14,13,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400万,68,,,74,725,965,998,1001,1008,1011,965,1054,1067,1028,1009,62,55,52,52,45,36,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,
1000万,24,,64,101,,,,,,,,,,,,,,,,,,,,,,,226,451,472,483,477,482,456,456,451,444,422,422,423,426,423,424,428,427,185,,,
未出走,9,,12,14,15,30,33,25,35,40,33,37,41,41,46,42,45,47,47,47,49,48,54,52,48,51,49,39,,,,,,,,,,,,,,,,,,,,
1300万,,2,21,,,,,126,122,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400万,,,2,20,,,,,,28,95,97,89,94,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(G),,,2,,,,,,,,,10,10,10,10,10,10,10,10,10,11,8,8,9,,,,,,,,,,,1,1,,1,1,1,2,1,,1,1,1,1,
1100万,,,,51,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600万,,,,,9,,,,,,,,,,,,,,,,,,56,140,133,147,123,113,113,105,96,104,134,154,165,172,171,177,176,176,177,179,180,181,85,,,
80万,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700万,,,,,,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800万,,,,,,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3,,,,,,,,,1,1,2,55,56,56,56,55,55,55,55,58,56,64,63,63,69,70,69,69,69,69,69,70,70,70,70,71,71,71,71,72,71,74,75,73,74,73,72,73
G1,,,,,,,,,,3,2,15,15,15,15,16,16,16,16,16,16,19,20,20,22,23,23,23,22,24,23,24,24,24,24,24,25,24,24,24,24,24,26,29,26,26,26,26
G2,,,,,,,,,,1,1,24,29,29,29,29,29,29,29,31,32,31,33,33,36,34,36,36,36,36,36,37,37,37,37,37,38,38,38,39,39,39,37,38,38,39,40,40
1500万,,,,,,,,,,,,,,,,94,109,114,114,119,122,124,71,,,,,,,,,,,,,,,,,,,,,,,,,
1勝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557,955,925,933
2勝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,473,477,467
3勝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,202,214,213
(L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,62,62,62
