開催日,レース名,距離,年齢制限,一着賞金,地肌,クラス,通時,適性
1970/12/26,4歳以上勝入,1800,3:３歳以上,120.0,ダ,NoClass,z.NoClass,5.砂 マイル
1970/12/26,3歳,1600,1:２歳,260.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/12/26,3歳,1400,1:２歳,260.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/12/20,4歳以上,1700,3:３歳以上,110.0,ダ,NoClass,z.NoClass,5.砂 マイル
1970/12/19,4歳以上,1600,3:３歳以上,400.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/12/13,4歳以上,1700,3:３歳以上,110.0,ダ,NoClass,z.NoClass,5.砂 マイル
1970/12/12,4歳以上,2800,3:３歳以上,0.0,障,NoClass,z.NoClass,7.障害
1970/12/12,4歳以上,2600,3:３歳以上,400.0,障,NoClass,z.NoClass,7.障害
1970/12/06,4歳以上,2800,3:３歳以上,400.0,障,NoClass,z.NoClass,7.障害
1970/12/06,3歳,1500,1:２歳,110.0,ダ,NoClass,z.NoClass,4.砂 短距離
1970/12/06,3歳,1500,1:２歳,220.0,ダ,NoClass,z.NoClass,4.砂 短距離
1970/12/06,4歳以上,2000,3:３歳以上,400.0,芝,NoClass,z.NoClass,3.芝 中以遠
1970/12/05,4歳以上,1600,3:３歳以上,400.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/12/05,3歳,1200,1:２歳,260.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/11/28,3歳,1400,1:２歳,260.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/11/28,4歳以上,1700,3:３歳以上,360.0,ダ,NoClass,z.NoClass,5.砂 マイル
1970/11/28,4歳以上,1800,3:３歳以上,400.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/11/23,4歳以上,2820,3:３歳以上,280.0,障,NoClass,z.NoClass,7.障害
1970/11/23,3歳100(200)万円以下,1400,1:２歳,160.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/11/21,4歳以上,2820,3:３歳以上,240.0,障,NoClass,z.NoClass,7.障害
1970/11/15,3歳,1400,1:２歳,260.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/11/14,4歳以上,2700,3:３歳以上,600.0,障,NoClass,z.NoClass,7.障害
1970/11/14,4歳以上,1600,3:３歳以上,360.0,ダ,NoClass,z.NoClass,5.砂 マイル
1970/11/14,4歳以上,2500,3:３歳以上,400.0,障,NoClass,z.NoClass,7.障害
1970/11/14,3歳,1400,1:２歳,260.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/11/14,4歳以上,1600,3:３歳以上,400.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/11/08,3歳,1100,1:２歳,220.0,ダ,NoClass,z.NoClass,4.砂 短距離
1970/11/07,3歳,1400,1:２歳,260.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/11/07,4歳以上,1600,3:３歳以上,400.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/11/03,3歳,1200,1:２歳,110.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/11/03,4歳以上勝入,1600,3:３歳以上,110.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/11/03,3歳,1100,1:２歳,110.0,ダ,NoClass,z.NoClass,4.砂 短距離
1970/11/03,?,1600,0:NoClass ?,110.0,ダ,NoClass,z.NoClass,5.砂 マイル
1970/11/01,4歳以上,2820,3:３歳以上,0.0,障,NoClass,z.NoClass,7.障害
1970/11/01,4歳以上,1800,3:３歳以上,400.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/10/25,4歳以上,1800,3:３歳以上,360.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/10/24,4歳以上,2820,3:３歳以上,0.0,障,NoClass,z.NoClass,7.障害
1970/10/24,4歳以上,1600,3:３歳以上,110.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/10/18,3歳,1200,1:２歳,220.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/10/17,4歳以上,2820,3:３歳以上,400.0,障,NoClass,z.NoClass,7.障害
1970/10/17,4歳以上,1800,3:３歳以上,400.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/10/17,4歳以上,2500,3:３歳以上,400.0,障,NoClass,z.NoClass,7.障害
1970/10/17,3歳,1200,1:２歳,260.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/10/11,4歳以上,2800,3:３歳以上,0.0,障,NoClass,z.NoClass,7.障害
1970/10/11,3歳,1200,1:２歳,110.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/10/10,3歳,1200,1:２歳,110.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/10/10,4歳以上勝入,2800,3:３歳以上,290.0,障,NoClass,z.NoClass,7.障害
1970/10/10,4歳以上,1600,3:３歳以上,400.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/10/04,4歳以上,1600,3:３歳以上,400.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/10/03,4歳以上,1600,3:３歳以上,110.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/10/03,4歳以上,2000,3:３歳以上,400.0,芝,NoClass,z.NoClass,3.芝 中以遠
1970/09/27,4歳以上,2800,3:３歳以上,0.0,障,NoClass,z.NoClass,7.障害
1970/09/26,4歳以上,1800,3:３歳以上,360.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/09/26,3歳,1000,1:２歳,260.0,ダ,NoClass,z.NoClass,4.砂 短距離
1970/09/23,3歳,1000,1:２歳,220.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/09/20,3歳,1200,1:２歳,110.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/09/20,4歳以上,2600,3:３歳以上,400.0,障,NoClass,z.NoClass,7.障害
1970/09/19,4歳以上,2800,3:３歳以上,600.0,障,NoClass,z.NoClass,7.障害
1970/09/13,3歳,1200,1:２歳,160.0,ダ,NoClass,z.NoClass,4.砂 短距離
1970/09/13,4歳以上,2800,3:３歳以上,240.0,障,NoClass,z.NoClass,7.障害
1970/09/13,4歳以上,1800,3:３歳以上,400.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/09/13,3歳,1200,1:２歳,110.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/09/13,4歳以上,1800,3:３歳以上,400.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/09/12,4歳以上,1700,3:３歳以上,1100.0,ダ,NoClass,z.NoClass,5.砂 マイル
1970/09/12,3歳,1200,1:２歳,260.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/09/12,4歳以上,1600,3:３歳以上,110.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/09/05,4歳以上,1200,3:３歳以上,300.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/08/30,4歳以上,2800,3:３歳以上,0.0,障,NoClass,z.NoClass,7.障害
1970/08/29,4歳以上,1800,3:３歳以上,300.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/08/29,3歳,1100,1:２歳,260.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/08/23,3歳,1000,1:２歳,200.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/08/22,4歳以上,2800,3:３歳以上,600.0,障,NoClass,z.NoClass,7.障害
1970/08/16,4歳以上勝入,2800,3:３歳以上,340.0,障,NoClass,z.NoClass,7.障害
1970/08/15,4歳以上勝入,1600,3:３歳以上,120.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/08/09,4歳以上,2800,3:３歳以上,240.0,障,NoClass,z.NoClass,7.障害
1970/08/09,4歳以上,2250,3:３歳以上,1200.0,障,NoClass,z.NoClass,7.障害
1970/08/08,3歳,1000,1:２歳,200.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/08/02,3歳,1000,1:２歳,110.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/08/01,3歳,1000,1:２歳,200.0,ダ,NoClass,z.NoClass,4.砂 短距離
1970/08/01,3歳,1000,1:２歳,110.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/08/01,4歳以上,2800,3:３歳以上,0.0,障,NoClass,z.NoClass,7.障害
1970/08/01,4歳以上,1800,3:３歳以上,300.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/08/01,4歳以上,1700,3:３歳以上,110.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/07/25,3歳,1000,1:２歳,200.0,ダ,NoClass,z.NoClass,4.砂 短距離
1970/07/25,4歳以上,1800,3:３歳以上,300.0,ダ,NoClass,z.NoClass,5.砂 マイル
1970/07/25,4歳以上,2800,3:３歳以上,300.0,障,NoClass,z.NoClass,7.障害
1970/07/25,4歳以上,1800,3:３歳以上,300.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/07/19,4歳以上勝入,1800,3:３歳以上,120.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/07/12,4歳以上,2250,3:３歳以上,450.0,障,NoClass,z.NoClass,7.障害
1970/07/12,4歳以上,1700,3:３歳以上,300.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/07/05,3歳,1000,1:２歳,110.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/07/04,4歳以上,1800,3:３歳以上,300.0,ダ,NoClass,z.NoClass,5.砂 マイル
1970/07/04,3歳,1000,1:２歳,110.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/07/04,4歳以上,2800,3:３歳以上,220.0,障,NoClass,z.NoClass,7.障害
1970/06/28,4歳200(300)万円以下,1600,2:３歳,200.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/06/27,4歳以上,1600,3:３歳以上,300.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/06/27,3歳勝入,1000,1:２歳,90.0,ダ,NoClass,z.NoClass,4.砂 短距離
1970/06/21,4歳以上勝入,1800,3:３歳以上,120.0,ダ,NoClass,z.NoClass,5.砂 マイル
1970/06/21,3歳,850,1:２歳,80.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/06/21,4歳,1900,2:３歳,340.0,芝,NoClass,z.NoClass,3.芝 中以遠
1970/06/20,3歳,1000,1:２歳,80.0,ダ,NoClass,z.NoClass,4.砂 短距離
1970/06/20,3歳勝入,1200,1:２歳,90.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/06/14,4歳以上,2800,3:３歳以上,240.0,障,NoClass,z.NoClass,7.障害
1970/06/14,3歳,850,1:２歳,80.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/06/13,3歳,1000,1:２歳,80.0,ダ,NoClass,z.NoClass,4.砂 短距離
1970/06/13,3歳,850,1:２歳,80.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/06/07,4歳100(200)万円以下,1800,2:３歳,150.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/06/07,4歳,1800,2:３歳,340.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/06/07,4歳以上,1800,3:３歳以上,400.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/06/07,3歳,850,1:２歳,80.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/06/07,4歳以上,2600,3:３歳以上,400.0,障,NoClass,z.NoClass,7.障害
1970/06/07,4歳以上,1600,3:３歳以上,400.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/06/06,3歳,1000,1:２歳,80.0,ダ,NoClass,z.NoClass,4.砂 短距離
1970/06/06,3歳,850,1:２歳,80.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/05/31,4歳,1600,2:３歳,340.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/05/30,4歳以上勝入,1700,3:３歳以上,180.0,ダ,NoClass,z.NoClass,5.砂 マイル
1970/05/30,4歳以上,1600,3:３歳以上,110.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/05/24,あじさい賞(200(300)万円以下),1600,2:３歳,320.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/05/23,4歳以上,2900,3:３歳以上,240.0,障,NoClass,z.NoClass,7.障害
1970/05/17,4歳以上,1900,3:３歳以上,110.0,芝,NoClass,z.NoClass,3.芝 中以遠
1970/05/17,4歳以上,2000,3:３歳以上,400.0,芝,NoClass,z.NoClass,3.芝 中以遠
1970/05/16,4歳以上,2900,3:３歳以上,400.0,障,NoClass,z.NoClass,7.障害
1970/05/16,4歳以上,2000,3:３歳以上,400.0,芝,NoClass,z.NoClass,3.芝 中以遠
1970/05/10,アマリリス賞(100(200)万円以下),1800,2:３歳,250.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/05/10,4歳以上,1600,3:３歳以上,400.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/05/10,4歳,1900,2:３歳,340.0,芝,NoClass,z.NoClass,3.芝 中以遠
1970/05/09,4歳以上,2600,3:３歳以上,0.0,障,NoClass,z.NoClass,7.障害
1970/05/05,4歳,1600,2:３歳,340.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/05/03,5歳以上,2800,4:４歳以上,240.0,障,NoClass,z.NoClass,7.障害
1970/04/29,5歳以上,2800,4:４歳以上,280.0,障,NoClass,z.NoClass,7.障害
1970/04/26,5歳以上,2000,4:４歳以上,400.0,芝,NoClass,z.NoClass,3.芝 中以遠
1970/04/25,5歳以上,2800,4:４歳以上,400.0,障,NoClass,z.NoClass,7.障害
1970/04/25,4歳,1800,2:３歳,340.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/04/25,5歳以上,1600,4:４歳以上,400.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/04/19,5歳以上,2600,4:４歳以上,240.0,障,NoClass,z.NoClass,7.障害
1970/04/19,5歳以上,2600,4:４歳以上,400.0,障,NoClass,z.NoClass,7.障害
1970/04/18,4歳,1400,2:３歳,340.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/04/18,5歳以上,1900,4:４歳以上,400.0,芝,NoClass,z.NoClass,3.芝 中以遠
1970/04/12,4歳以上,1900,3:３歳以上,110.0,芝,NoClass,z.NoClass,3.芝 中以遠
1970/04/11,5歳以上勝入,2800,4:４歳以上,290.0,障,NoClass,z.NoClass,7.障害
1970/04/11,4歳以上勝入,1700,3:３歳以上,120.0,ダ,NoClass,z.NoClass,5.砂 マイル
1970/04/11,5歳以上,2000,4:４歳以上,400.0,芝,NoClass,z.NoClass,3.芝 中以遠
1970/04/05,5歳以上,1800,4:４歳以上,400.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/04/05,5歳以上,2000,4:４歳以上,400.0,芝,NoClass,z.NoClass,3.芝 中以遠
1970/04/04,4歳100(200)万円以下,1800,2:３歳,150.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/03/29,5歳以上,2800,4:４歳以上,240.0,障,NoClass,z.NoClass,7.障害
1970/03/29,4歳以上,1900,3:３歳以上,110.0,芝,NoClass,z.NoClass,3.芝 中以遠
1970/03/28,4歳,1800,2:３歳,340.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/03/22,4歳以上,1800,3:３歳以上,110.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/03/21,5歳以上,2800,4:４歳以上,400.0,障,NoClass,z.NoClass,7.障害
1970/03/21,4歳100(200)万円以下,1600,2:３歳,150.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/03/21,5歳以上,2600,4:４歳以上,400.0,障,NoClass,z.NoClass,7.障害
1970/03/21,4歳,1400,2:３歳,340.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/03/15,5歳以上,1600,4:４歳以上,400.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/03/14,5歳以上勝入,2900,4:４歳以上,620.0,障,NoClass,z.NoClass,7.障害
1970/03/14,5歳以上,1600,4:４歳以上,400.0,ダ,NoClass,z.NoClass,5.砂 マイル
1970/03/08,5歳以上,2900,4:４歳以上,240.0,障,NoClass,z.NoClass,7.障害
1970/03/08,4歳,1600,2:３歳,340.0,ダ,NoClass,z.NoClass,5.砂 マイル
1970/03/08,たちばな賞(200(250)万円以下),1600,2:３歳,320.0,ダ,NoClass,z.NoClass,5.砂 マイル
1970/03/08,5歳以上,2500,4:４歳以上,0.0,障,NoClass,z.NoClass,7.障害
1970/03/08,4歳,1400,2:３歳,340.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/03/01,4歳以上,1600,3:３歳以上,110.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/02/28,4歳以上,1700,3:３歳以上,110.0,ダ,NoClass,z.NoClass,5.砂 マイル
1970/02/28,5歳以上,1600,4:４歳以上,400.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/02/22,5歳以上,2900,4:４歳以上,240.0,障,NoClass,z.NoClass,7.障害
1970/02/22,4歳以上,1400,3:３歳以上,110.0,芝,NoClass,z.NoClass,1.芝 短距離
1970/02/22,5歳以上,1800,4:４歳以上,400.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/02/21,4歳,1600,2:３歳,110.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/02/14,5歳以上,2900,4:４歳以上,400.0,障,NoClass,z.NoClass,7.障害
1970/02/14,5歳以上,1700,4:４歳以上,400.0,ダ,NoClass,z.NoClass,5.砂 マイル
1970/02/11,5歳以上,2900,4:４歳以上,240.0,障,NoClass,z.NoClass,7.障害
1970/02/11,4歳,1600,2:３歳,340.0,ダ,NoClass,z.NoClass,5.砂 マイル
1970/02/08,5歳以上,2000,4:４歳以上,400.0,芝,NoClass,z.NoClass,3.芝 中以遠
1970/02/08,4歳,1600,2:３歳,260.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/02/07,4歳以上,1600,3:３歳以上,110.0,ダ,NoClass,z.NoClass,5.砂 マイル
1970/01/31,5歳以上,1600,4:４歳以上,400.0,ダ,NoClass,z.NoClass,5.砂 マイル
1970/01/31,5歳以上,2500,4:４歳以上,400.0,障,NoClass,z.NoClass,7.障害
1970/01/31,4歳以上,1700,3:３歳以上,70.0,ダ,NoClass,z.NoClass,5.砂 マイル
1970/01/31,5歳以上,1700,4:４歳以上,300.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/01/25,4歳,1600,2:３歳,340.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/01/25,5歳以上,1600,4:４歳以上,400.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/01/24,4歳以上勝入,1600,3:３歳以上,120.0,ダ,NoClass,z.NoClass,5.砂 マイル
1970/01/24,5歳以上,1700,4:４歳以上,400.0,ダ,NoClass,z.NoClass,5.砂 マイル
1970/01/24,5歳以上,2900,4:４歳以上,400.0,障,NoClass,z.NoClass,7.障害
1970/01/24,5歳以上,1600,4:４歳以上,110.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/01/18,5歳以上,2900,4:４歳以上,240.0,障,NoClass,z.NoClass,7.障害
1970/01/15,5歳以上,2900,4:４歳以上,280.0,障,NoClass,z.NoClass,7.障害
1970/01/11,5歳以上,2900,4:４歳以上,400.0,障,NoClass,z.NoClass,7.障害
1970/01/11,5歳以上,1800,4:４歳以上,400.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/01/11,4歳,1700,2:３歳,260.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/01/10,4歳,1600,2:３歳,340.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/01/10,5歳以上,1700,4:４歳以上,110.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/01/10,5歳以上,1600,4:４歳以上,300.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/01/05,5歳以上,2700,4:４歳以上,240.0,障,NoClass,z.NoClass,7.障害
1970/01/05,4歳,1400,2:３歳,340.0,ダ,NoClass,z.NoClass,4.砂 短距離
1970/01/05,5歳以上,1600,4:４歳以上,400.0,芝,NoClass,z.NoClass,2.芝 マイル
1970/01/04,4歳,1200,2:３歳,110.0,芝,NoClass,z.NoClass,1.芝 短距離
1971/12/26,3歳,1600,1:２歳,0.0,芝,NoClass,z.NoClass,2.芝 マイル
1971/12/25,3歳勝入,1200,1:２歳,0.0,ダ,NoClass,z.NoClass,4.砂 短距離
1971/12/25,4歳以上勝入,1800,3:３歳以上,0.0,ダ,NoClass,z.NoClass,5.砂 マイル
1971/12/25,3歳,1600,1:２歳,300.0,芝,NoClass,z.NoClass,2.芝 マイル
1971/12/19,4歳以上,1600,3:３歳以上,130.0,ダ,NoClass,z.NoClass,5.砂 マイル
1971/12/18,4歳以上,1900,3:３歳以上,440.0,芝,NoClass,z.NoClass,3.芝 中以遠
1971/12/12,5歳以上,1800,4:４歳以上,440.0,芝,NoClass,z.NoClass,2.芝 マイル
1971/12/11,4歳以上,1700,3:３歳以上,130.0,ダ,NoClass,z.NoClass,5.砂 マイル
1971/12/11,4歳以上,2600,3:３歳以上,440.0,障,NoClass,z.NoClass,7.障害
1971/12/05,3歳,1200,1:２歳,130.0,ダ,NoClass,z.NoClass,4.砂 短距離
1971/12/05,3歳,1200,1:２歳,260.0,芝,NoClass,z.NoClass,1.芝 短距離
1971/12/05,4歳以上,1700,3:３歳以上,130.0,ダ,NoClass,z.NoClass,5.砂 マイル
1971/12/05,4歳以上,1600,3:３歳以上,440.0,芝,NoClass,z.NoClass,2.芝 マイル
1971/12/04,4歳以上,2800,3:３歳以上,440.0,障,NoClass,z.NoClass,7.障害
1971/12/04,3歳,1000,1:２歳,130.0,ダ,NoClass,z.NoClass,4.砂 短距離
1971/12/04,3歳,1400,1:２歳,300.0,芝,NoClass,z.NoClass,1.芝 短距離
1971/11/28,3歳,1400,1:２歳,300.0,芝,NoClass,z.NoClass,1.芝 短距離
