開催日,レース名,距離,年齢制限,一着賞金,地肌,クラス,通時,適性
1974/12/22,4歳以上勝入,1700,3:３歳以上,240.0,ダ,NoClass,z.NoClass,5.砂 マイル
1974/12/22,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1974/12/22,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1974/12/22,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1974/12/22,3歳新馬,1200,1:２歳,200.0,芝,新馬,o.未勝利,1.芝 短距離
1974/12/22,4歳以上200万下,1800,3:３歳以上,320.0,芝,200万,9.1勝,2.芝 マイル
1974/12/22,冬至特別(400万下),1800,3:３歳以上,900.0,芝,400万,8.2勝,2.芝 マイル
1974/12/22,3歳200万下,1600,1:２歳,0.0,芝,200万,9.1勝,2.芝 マイル
1974/12/22,中山大障害(OP),4100,3:３歳以上,2700.0,障,OP,6.OP,7.障害
1974/12/22,スティヤーズステーク(OP),3600,3:３歳以上,1500.0,芝,OP,6.OP,3.芝 中以遠
1974/12/22,4歳以上500万下,1600,3:３歳以上,460.0,芝,500万,8.2勝,2.芝 マイル
1974/12/22,3歳未勝利,1000,1:２歳,100.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/22,4歳以上勝入,1600,3:３歳以上,240.0,ダ,NoClass,z.NoClass,5.砂 マイル
1974/12/22,3歳未勝利,1000,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/22,3歳未勝利,1000,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/22,4歳以上200万下,1700,3:３歳以上,320.0,ダ,200万,9.1勝,5.砂 マイル
1974/12/22,3歳新馬,1200,1:２歳,200.0,芝,新馬,o.未勝利,1.芝 短距離
1974/12/22,葉牡丹賞(200万下),1400,1:２歳,370.0,芝,200万,9.1勝,1.芝 短距離
1974/12/22,4歳以上200万下,1700,3:３歳以上,320.0,ダ,200万,9.1勝,5.砂 マイル
1974/12/22,愛知杯(OP),2000,3:３歳以上,1400.0,芝,OP,6.OP,3.芝 中以遠
1974/12/22,師走特別(500万下),1800,3:３歳以上,670.0,芝,500万,8.2勝,2.芝 マイル
1974/12/22,4歳以上400万下,1600,3:３歳以上,420.0,ダ,400万,8.2勝,5.砂 マイル
1974/12/22,3歳未勝利,1200,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/22,3歳未勝利,1200,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/22,4歳以上200万下,1800,3:３歳以上,320.0,ダ,200万,9.1勝,5.砂 マイル
1974/12/22,4歳以上400万下,1700,3:３歳以上,420.0,ダ,400万,8.2勝,5.砂 マイル
1974/12/22,4歳以上未勝利,2600,3:３歳以上,420.0,障,未勝利,o.未勝利,7.障害
1974/12/22,3歳新馬,1200,1:２歳,200.0,芝,新馬,o.未勝利,1.芝 短距離
1974/12/22,ひいらぎ賞(200万下),1200,1:２歳,370.0,ダ,200万,9.1勝,4.砂 短距離
1974/12/22,3歳,1200,1:２歳,360.0,ダ,NoClass,z.NoClass,4.砂 短距離
1974/12/22,阪神大賞典(OP),3000,3:３歳以上,2000.0,芝,OP,6.OP,3.芝 中以遠
1974/12/22,中距離特別(500万下),2000,3:３歳以上,670.0,芝,500万,8.2勝,3.芝 中以遠
1974/12/22,4歳以上700万下,1800,3:３歳以上,460.0,ダ,700万,7.3勝,5.砂 マイル
1974/12/21,3歳勝入,1700,1:２歳,200.0,ダ,NoClass,z.NoClass,5.砂 マイル
1974/12/21,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1974/12/21,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1974/12/21,4歳以上未勝利,2710,3:３歳以上,420.0,障,未勝利,o.未勝利,7.障害
1974/12/21,3歳新馬,1200,1:２歳,200.0,芝,新馬,o.未勝利,1.芝 短距離
1974/12/21,3歳新馬,1200,1:２歳,200.0,芝,新馬,o.未勝利,1.芝 短距離
1974/12/21,3歳,1600,1:２歳,360.0,芝,NoClass,z.NoClass,2.芝 マイル
1974/12/21,万両賞(200万下),1600,1:２歳,370.0,芝,200万,9.1勝,2.芝 マイル
1974/12/21,4歳以上200万下,1800,3:３歳以上,320.0,芝,200万,9.1勝,2.芝 マイル
1974/12/21,クリスマスハンデキャ(700万下),2200,3:３歳以上,670.0,芝,700万,7.3勝,3.芝 中以遠
1974/12/21,清澄特別(500万下),2000,3:３歳以上,670.0,芝,500万,8.2勝,3.芝 中以遠
1974/12/21,4歳以上800万下,1600,3:３歳以上,500.0,芝,800万,7.3勝,2.芝 マイル
1974/12/21,3歳100万下,1000,1:２歳,130.0,ダ,100万,9.1勝,4.砂 短距離
1974/12/21,3歳未勝利,1000,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/21,3歳未勝利,1000,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/21,3歳200万下,1000,1:２歳,240.0,ダ,200万,9.1勝,4.砂 短距離
1974/12/21,3歳新馬,1200,1:２歳,200.0,芝,新馬,o.未勝利,1.芝 短距離
1974/12/21,4歳以上200万下,1700,3:３歳以上,320.0,ダ,200万,9.1勝,5.砂 マイル
1974/12/21,4歳以上200万下,1700,3:３歳以上,320.0,ダ,200万,9.1勝,5.砂 マイル
1974/12/21,4歳以上700万下,1700,3:３歳以上,460.0,芝,700万,7.3勝,2.芝 マイル
1974/12/21,多治見特別(200万下),1700,3:３歳以上,480.0,ダ,200万,9.1勝,5.砂 マイル
1974/12/21,アラブ3歳S(OP),1600,1:２歳,240.0,ダ,OP,6.OP,5.砂 マイル
1974/12/21,4歳以上500万下,1600,3:３歳以上,460.0,ダ,500万,8.2勝,5.砂 マイル
1974/12/21,3歳未勝利,1200,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/21,3歳未勝利,1200,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/21,3歳未勝利,1200,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/21,3歳未勝利,1200,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/21,3歳200万下,1200,1:２歳,240.0,ダ,200万,9.1勝,4.砂 短距離
1974/12/21,3歳新馬,1200,1:２歳,200.0,芝,新馬,o.未勝利,1.芝 短距離
1974/12/21,3歳新馬,1200,1:２歳,200.0,芝,新馬,o.未勝利,1.芝 短距離
1974/12/21,障害特別(600万下),2600,3:３歳以上,660.0,障,600万,8.2勝,7.障害
1974/12/21,4歳以上200万下,1800,3:３歳以上,320.0,ダ,200万,9.1勝,5.砂 マイル
1974/12/21,サンタクロースH(700万下),1600,3:３歳以上,670.0,芝,700万,7.3勝,2.芝 マイル
1974/12/21,冬至特別(400万下),1900,3:３歳以上,600.0,ダ,400万,8.2勝,6.砂 中以遠
1974/12/21,4歳以上500万下,1700,3:３歳以上,460.0,ダ,500万,8.2勝,5.砂 マイル
1974/12/15,3歳未勝利,1200,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/15,3歳未勝利,1200,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/15,3歳新馬,1200,1:２歳,200.0,ダ,新馬,o.未勝利,4.砂 短距離
1974/12/15,3歳,1200,1:２歳,240.0,ダ,NoClass,z.NoClass,4.砂 短距離
1974/12/15,4歳以上200万下,1800,3:３歳以上,320.0,ダ,200万,9.1勝,5.砂 マイル
1974/12/15,ひいらぎ賞(500万下),1600,1:２歳,460.0,芝,500万,8.2勝,2.芝 マイル
1974/12/15,中冬S(700万下),1800,3:３歳以上,670.0,芝,700万,7.3勝,2.芝 マイル
1974/12/15,4歳以上500万下,1800,3:３歳以上,460.0,ダ,500万,8.2勝,5.砂 マイル
1974/12/15,有馬記念(OP),2500,3:３歳以上,4000.0,芝,OP,6.OP,3.芝 中以遠
1974/12/15,4歳以上400万下,1700,3:３歳以上,420.0,ダ,400万,8.2勝,5.砂 マイル
1974/12/15,3歳未勝利,1000,1:２歳,100.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/15,3歳未勝利,1000,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/15,3歳未勝利,1000,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/15,4歳以上200万下,1700,3:３歳以上,320.0,ダ,200万,9.1勝,5.砂 マイル
1974/12/15,4歳以上200万下,1700,3:３歳以上,320.0,ダ,200万,9.1勝,5.砂 マイル
1974/12/15,3歳新馬,1200,1:２歳,200.0,芝,新馬,o.未勝利,1.芝 短距離
1974/12/15,恵那特別(200万下),1700,3:３歳以上,480.0,ダ,200万,9.1勝,5.砂 マイル
1974/12/15,4歳以上400万下,1600,3:３歳以上,420.0,ダ,400万,8.2勝,5.砂 マイル
1974/12/15,アラブ大賞典(OP),1800,3:３歳以上,800.0,芝,OP,6.OP,2.芝 マイル
1974/12/15,クリスマスキャロルハ(700万下),2400,3:３歳以上,670.0,芝,700万,7.3勝,3.芝 中以遠
1974/12/15,4歳以上500万下,1600,3:３歳以上,460.0,ダ,500万,8.2勝,5.砂 マイル
1974/12/15,3歳未勝利,1200,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/15,3歳未勝利,1200,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/15,3歳未勝利,1200,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/15,4歳以上200万下,1800,3:３歳以上,320.0,ダ,200万,9.1勝,5.砂 マイル
1974/12/15,4歳以上未勝利,2600,3:３歳以上,420.0,障,未勝利,o.未勝利,7.障害
1974/12/15,3歳新馬,1200,1:２歳,200.0,芝,新馬,o.未勝利,1.芝 短距離
1974/12/15,さざんか賞(200万下),1200,1:２歳,370.0,ダ,200万,9.1勝,4.砂 短距離
1974/12/15,4歳以上400万下,1700,3:３歳以上,420.0,ダ,400万,8.2勝,5.砂 マイル
1974/12/15,阪神牝馬特別(OP),2000,3:３歳以上,1400.0,芝,OP,6.OP,3.芝 中以遠
1974/12/15,武庫川特別(700万下),2000,3:３歳以上,670.0,芝,700万,7.3勝,3.芝 中以遠
1974/12/15,4歳以上500万下,1700,3:３歳以上,460.0,ダ,500万,8.2勝,5.砂 マイル
1974/12/14,3歳勝入100万円以下,1200,1:２歳,150.0,ダ,100万,9.1勝,4.砂 短距離
1974/12/14,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1974/12/14,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1974/12/14,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1974/12/14,4歳以上勝入300万円以下,2710,3:３歳以上,490.0,障,300万,9.1勝,7.障害
1974/12/14,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1974/12/14,3歳新馬,1200,1:２歳,200.0,芝,新馬,o.未勝利,1.芝 短距離
1974/12/14,葉牡丹賞(200万下),1600,1:２歳,370.0,芝,200万,9.1勝,2.芝 マイル
1974/12/14,4歳以上500万下,1800,3:３歳以上,460.0,芝,500万,8.2勝,2.芝 マイル
1974/12/14,ディセンバーハンデキ(1000万下),2000,3:３歳以上,720.0,芝,1000万,7.3勝,3.芝 中以遠
1974/12/14,短距離特別(500万下),1200,3:３歳以上,670.0,芝,500万,8.2勝,1.芝 短距離
1974/12/14,4歳以上200万下,1600,3:３歳以上,320.0,芝,200万,9.1勝,2.芝 マイル
1974/12/14,3歳未勝利,1000,1:２歳,100.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/14,3歳100万下,1000,1:２歳,130.0,ダ,100万,9.1勝,4.砂 短距離
1974/12/14,3歳未勝利,1000,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/14,3歳未勝利,1000,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/14,3歳新馬,1200,1:２歳,200.0,芝,新馬,o.未勝利,1.芝 短距離
1974/12/14,3歳200万下,1000,1:２歳,240.0,ダ,200万,9.1勝,4.砂 短距離
1974/12/14,4歳以上200万下,1700,3:３歳以上,320.0,ダ,200万,9.1勝,5.砂 マイル
1974/12/14,4歳以上200万下,1700,3:３歳以上,320.0,ダ,200万,9.1勝,5.砂 マイル
1974/12/14,中京3歳S(OP),1400,1:２歳,600.0,芝,OP,6.OP,1.芝 短距離
1974/12/14,清洲特別(400万下),1800,3:３歳以上,600.0,芝,400万,8.2勝,2.芝 マイル
1974/12/14,4歳以上200万下,1700,3:３歳以上,320.0,ダ,200万,9.1勝,5.砂 マイル
1974/12/14,3歳未勝利,1200,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/14,3歳未勝利,1200,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/14,3歳200万下,1200,1:２歳,240.0,ダ,200万,9.1勝,4.砂 短距離
1974/12/14,4歳以上200万下,1700,3:３歳以上,320.0,ダ,200万,9.1勝,5.砂 マイル
1974/12/14,4歳以上200万下,1700,3:３歳以上,320.0,ダ,200万,9.1勝,5.砂 マイル
1974/12/14,3歳新馬,1200,1:２歳,200.0,芝,新馬,o.未勝利,1.芝 短距離
1974/12/14,障害S(OP),3000,3:３歳以上,800.0,障,OP,6.OP,7.障害
1974/12/14,4歳以上400万下,1700,3:３歳以上,420.0,ダ,400万,8.2勝,5.砂 マイル
1974/12/14,六甲S(800万下),2200,3:３歳以上,720.0,芝,800万,7.3勝,3.芝 中以遠
1974/12/14,北摂特別(500万下),1600,3:３歳以上,670.0,芝,500万,8.2勝,2.芝 マイル
1974/12/14,4歳以上500万下,1700,3:３歳以上,460.0,ダ,500万,8.2勝,5.砂 マイル
1974/12/08,4歳以上,1700,3:３歳以上,220.0,ダ,NoClass,z.NoClass,5.砂 マイル
1974/12/08,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1974/12/08,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1974/12/08,4歳以上未勝利,2710,3:３歳以上,420.0,障,未勝利,o.未勝利,7.障害
1974/12/08,3歳新馬,1200,1:２歳,200.0,芝,新馬,o.未勝利,1.芝 短距離
1974/12/08,4歳以上200万下,1800,3:３歳以上,320.0,芝,200万,9.1勝,2.芝 マイル
1974/12/08,黒松賞(200万下),1600,1:２歳,370.0,芝,200万,9.1勝,2.芝 マイル
1974/12/08,4歳以上500万下,1200,3:３歳以上,460.0,芝,500万,8.2勝,1.芝 短距離
1974/12/08,3歳S(OP),1600,1:２歳,1500.0,芝,OP,6.OP,2.芝 マイル
1974/12/08,ウインターハンデキャ(800万下),2000,3:３歳以上,720.0,芝,800万,7.3勝,3.芝 中以遠
1974/12/08,4歳以上,1600,3:３歳以上,580.0,芝,NoClass,z.NoClass,2.芝 マイル
1974/12/08,3歳未勝利,1000,1:２歳,100.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/08,3歳未勝利,1000,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/08,3歳未勝利,1000,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/08,3歳未勝利,1000,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/08,4歳以上200万下,1600,3:３歳以上,320.0,ダ,200万,9.1勝,5.砂 マイル
1974/12/08,3歳新馬,1200,1:２歳,200.0,芝,新馬,o.未勝利,1.芝 短距離
1974/12/08,すずかけ賞(200万下),1400,1:２歳,370.0,芝,200万,9.1勝,1.芝 短距離
1974/12/08,4歳以上200万下,1600,3:３歳以上,320.0,ダ,200万,9.1勝,5.砂 マイル
1974/12/08,CBC賞(OP),1400,3:３歳以上,1200.0,芝,OP,6.OP,1.芝 短距離
1974/12/08,高山特別(200万下),1700,3:３歳以上,480.0,ダ,200万,9.1勝,5.砂 マイル
1974/12/08,4歳以上500万下,1700,3:３歳以上,460.0,ダ,500万,8.2勝,5.砂 マイル
