開催日,レース名,距離,地肌,クラス
1979/12/23,3歳勝入,1700,ダ,勝入
1979/12/23,3歳未勝利,1200,芝,未勝利
1979/12/23,3歳未勝利,1600,芝,未勝利
1979/12/23,3歳新馬,1200,芝,新馬
1979/12/23,3歳400万下,1200,芝,400万
1979/12/23,4歳以上400万下,2000,芝,400万
1979/12/23,ひいらぎ賞(800万下),1600,芝,800万
1979/12/23,4歳以上800万下,1800,ダ,800万
1979/12/23,中山大障害(OP),4100,障,OP
1979/12/23,クリスマスハンデキャ(1200万下),2200,芝,1200万
1979/12/23,4歳以上800万下,1600,芝,800万
1979/12/23,3歳未勝利,1200,ダ,未勝利
1979/12/23,3歳未勝利,1600,芝,未勝利
1979/12/23,3歳新馬,1400,芝,新馬
1979/12/23,4歳以上1200万下,1800,ダ,1200万
1979/12/23,4歳以上未勝利,3000,障,未勝利
1979/12/23,4歳以上400万下,1800,ダ,400万
1979/12/23,シクラメン賞(800万下),1600,芝,800万
1979/12/23,4歳以上400万下,1800,ダ,400万
1979/12/23,中距離特別(800万下),2000,芝,800万
1979/12/23,阪神大賞典(OP),3000,芝,OP
1979/12/23,4歳以上800万下,1800,ダ,800万
1979/12/22,4歳以上勝入,1800,ダ,勝入
1979/12/22,3歳未勝利,1200,ダ,未勝利
1979/12/22,3歳未勝利,1600,芝,未勝利
1979/12/22,4歳以上勝入400万円以下,3550,障,400万
1979/12/22,3歳新馬,1200,芝,新馬
1979/12/22,3歳新馬,1600,芝,新馬
1979/12/22,3歳新馬,1600,芝,新馬
1979/12/22,万両賞(400万下),1600,芝,400万
1979/12/22,4歳以上400万下,1800,ダ,400万
1979/12/22,冬至特別(800万下),2500,芝,800万
1979/12/22,ステイヤーズステーク(OP),3600,芝,OP
1979/12/22,4歳以上800万下,1800,芝,800万
1979/12/22,3歳未勝利,1200,ダ,未勝利
1979/12/22,3歳未勝利,1200,ダ,未勝利
1979/12/22,3歳新馬,1600,芝,新馬
1979/12/22,3歳新馬,1200,ダ,新馬
1979/12/22,4歳以上勝入400万円以下,3200,障,400万
1979/12/22,4歳以上400万下,1800,ダ,400万
1979/12/22,4歳以上400万下,1800,ダ,400万
1979/12/22,ひいらぎ賞(400万下),1600,芝,400万
1979/12/22,4歳以上800万下,1800,ダ,800万
1979/12/22,冬至特別(800万下),1600,芝,800万
1979/12/22,サンタクロースH(1200万下),2400,芝,1200万
1979/12/22,4歳以上800万下,1800,ダ,800万
1979/12/16,3歳未勝利,1600,芝,未勝利
1979/12/16,3歳未勝利,1200,芝,未勝利
1979/12/16,3歳未勝利,1200,芝,未勝利
1979/12/16,4歳以上400万下,1600,芝,400万
1979/12/16,3歳新馬,1600,芝,新馬
1979/12/16,葉牡丹賞(400万下),1600,芝,400万
1979/12/16,仲冬特別(800万下),1800,芝,800万
1979/12/16,4歳以上800万下,2000,芝,800万
1979/12/16,有馬記念(OP),2500,芝,OP
1979/12/16,4歳以上400万下,1200,芝,400万
1979/12/16,3歳勝入200万円以下,1700,ダ,200万
1979/12/16,3歳未勝利,1000,ダ,未勝利
1979/12/16,3歳未勝利,1000,ダ,未勝利
1979/12/16,3歳新馬,1200,芝,新馬
1979/12/16,4歳以上,1700,ダ,NoClass
1979/12/16,4歳以上400万下,1700,ダ,400万
1979/12/16,はなのき賞(400万下),1400,芝,400万
1979/12/16,4歳以上400万下,1700,ダ,400万
1979/12/16,伊勢特別(800万下),1200,芝,800万
1979/12/16,愛知杯(OP),2000,芝,OP
1979/12/16,4歳以上400万下,1700,ダ,400万
1979/12/16,3歳未勝利,1200,ダ,未勝利
1979/12/16,3歳未勝利,1400,芝,未勝利
1979/12/16,3歳新馬,1200,芝,新馬
1979/12/16,4歳以上800万下,1800,ダ,800万
1979/12/16,4歳以上未勝利,3200,障,未勝利
1979/12/16,3歳未勝利,1400,芝,未勝利
1979/12/16,4歳以上800万下,1700,ダ,800万
1979/12/16,さざんか賞(400万下),1400,芝,400万
1979/12/16,4歳以上400万下,1800,ダ,400万
1979/12/16,御影特別(800万下),1800,ダ,800万
1979/12/16,阪神牝馬特別(OP),2000,芝,OP
1979/12/16,4歳以上400万下,1200,ダ,400万
1979/12/15,3歳未勝利,1200,ダ,未勝利
1979/12/15,3歳未勝利,1600,芝,未勝利
1979/12/15,3歳未勝利,1200,ダ,未勝利
1979/12/15,4歳以上400万下,1700,ダ,400万
1979/12/15,4歳以上未勝利,3200,障,未勝利
1979/12/15,3歳新馬,1200,芝,新馬
1979/12/15,3歳400万下,1600,芝,400万
1979/12/15,南総特別(800万下),2200,芝,800万
1979/12/15,4歳以上800万下,1800,芝,800万
1979/12/15,3歳牝馬S(OP),1600,芝,OP
1979/12/15,ウインターS(1200万下),1600,芝,1200万
1979/12/15,4歳以上400万下,1700,ダ,400万
1979/12/15,3歳未勝利,1000,ダ,未勝利
1979/12/15,3歳未勝利,1000,ダ,未勝利
1979/12/15,3歳新馬,1000,ダ,新馬
1979/12/15,4歳以上400万下,1700,ダ,400万
1979/12/15,4歳以上400万下,1700,ダ,400万
1979/12/15,4歳以上400万下,1700,ダ,400万
1979/12/15,中京3歳S(OP),1400,芝,OP
1979/12/15,4歳以上800万下,1700,ダ,800万
1979/12/15,恵那特別(400万下),1700,ダ,400万
1979/12/15,クリスマスキャロルハ(1200万下),2400,芝,1200万
1979/12/15,4歳以上800万下,1800,芝,800万
1979/12/15,3歳未勝利,1200,ダ,未勝利
1979/12/15,3歳未勝利,1200,ダ,未勝利
1979/12/15,3歳新馬,1400,芝,新馬
1979/12/15,3歳400万下,1200,ダ,400万
1979/12/15,4歳以上400万下,1800,ダ,400万
1979/12/15,4歳以上400万下,1700,ダ,400万
1979/12/15,障害S(OP),3200,障,OP
1979/12/15,4歳以上800万下,1700,ダ,800万
1979/12/15,夙川特別(800万下),2400,芝,800万
1979/12/15,六甲S(1200万下),1600,芝,1200万
1979/12/15,4歳以上800万下,1800,ダ,800万
1979/12/09,4歳以上,1700,ダ,NoClass
1979/12/09,3歳未勝利,1600,芝,未勝利
1979/12/09,3歳未勝利,1200,芝,未勝利
1979/12/09,4歳以上未勝利,2700,障,未勝利
1979/12/09,3歳400万下,1600,芝,400万
1979/12/09,3歳新馬,1600,芝,新馬
1979/12/09,4歳以上400万下,1800,芝,400万
1979/12/09,清澄特別(800万下),2000,芝,800万
1979/12/09,4歳以上,1600,芝,NoClass
1979/12/09,ターコイズS(1200万下),1800,芝,1200万
1979/12/09,朝日杯3歳S(OP),1600,芝,OP
1979/12/09,4歳以上400万下,1800,芝,400万
1979/12/09,3歳未勝利,1000,ダ,未勝利
1979/12/09,3歳200万下,1600,ダ,200万
1979/12/09,4歳以上,1600,ダ,NoClass
1979/12/09,3歳未勝利,1000,ダ,未勝利
1979/12/09,3歳新馬,1200,芝,新馬
1979/12/09,4歳以上400万下,1600,ダ,400万
1979/12/09,葉牡丹賞(400万下),1200,芝,400万
1979/12/09,4歳以上400万下,1700,ダ,400万
1979/12/09,美濃特別(400万下),1800,芝,400万
1979/12/09,CBC賞(OP),1400,芝,OP
1979/12/09,4歳以上800万下,1700,ダ,800万
1979/12/09,3歳未勝利,1200,ダ,未勝利
1979/12/09,3歳未勝利,1600,芝,未勝利
1979/12/09,3歳新馬,1400,芝,新馬
1979/12/09,3歳新馬,1200,芝,新馬
1979/12/09,4歳以上400万下,3000,障,400万
1979/12/09,3歳未勝利,1600,芝,未勝利
1979/12/09,3歳400万下,1200,ダ,400万
1979/12/09,仲冬特別(800万下),1600,芝,800万
1979/12/09,4歳以上400万下,1800,ダ,400万
1979/12/09,ディセンバーハンデキ(1200万下),2200,芝,1200万
1979/12/09,阪神3歳S(OP),1600,芝,OP
1979/12/09,4歳以上800万下,1200,ダ,800万
1979/12/08,3歳,1200,ダ,NoClass
1979/12/08,3歳未勝利,1200,ダ,未勝利
1979/12/08,3歳未勝利,1600,芝,未勝利
1979/12/08,4歳以上400万下,3200,障,400万
1979/12/08,3歳新馬,1200,芝,新馬
1979/12/08,3歳新馬,1200,芝,新馬
1979/12/08,3歳400万下,1200,芝,400万
1979/12/08,黒松賞(400万下),1600,芝,400万
1979/12/08,4歳以上400万下,1800,ダ,400万
1979/12/08,美浦特別(800万下),1800,ダ,800万
1979/12/08,ディセンバーハンデキ(1200万下),2000,芝,1200万
1979/12/08,4歳以上800万下,1600,芝,800万
1979/12/08,3歳未勝利,1600,ダ,未勝利
1979/12/08,3歳未勝利,1000,ダ,未勝利
1979/12/08,3歳未勝利,1400,芝,未勝利
1979/12/08,3歳新馬,1200,芝,新馬
1979/12/08,4歳以上400万下,1600,ダ,400万
1979/12/08,4歳以上400万下,1700,ダ,400万
1979/12/08,4歳以上400万下,1700,ダ,400万
1979/12/08,4歳以上400万下,1700,ダ,400万
1979/12/08,アラブ3歳S(OP),1600,ダ,OP
1979/12/08,師走特別(800万下),2000,芝,800万
1979/12/08,4歳以上800万下,1800,芝,800万
1979/12/08,3歳未勝利,1200,ダ,未勝利
1979/12/08,3歳未勝利,1200,ダ,未勝利
1979/12/08,3歳新馬,1200,芝,新馬
1979/12/08,4歳以上400万下,1800,ダ,400万
1979/12/08,4歳以上未勝利,3000,障,未勝利
1979/12/08,4歳以上400万下,1700,ダ,400万
1979/12/08,4歳以上400万下,1700,ダ,400万
1979/12/08,エリカ賞(400万下),1400,芝,400万
1979/12/08,4歳以上800万下,1800,ダ,800万
1979/12/08,逆瀬川特別(800万下),2000,芝,800万
1979/12/08,ウインターC(1200万下),1200,ダ,1200万
