開催日,レース名,距離,地肌,クラス,通時,適性
1988/12/25,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1988/12/25,3歳未勝利,1600,芝,未勝利,o.未勝利,2.芝 マイル
1988/12/25,3歳新馬,1200,ダ,新馬,o.未勝利,4.砂 短距離
1988/12/25,3歳新馬,1600,芝,新馬,o.未勝利,2.芝 マイル
1988/12/25,グッドラックH(900万下),2500,芝,900万,8.2勝,3.芝 中以遠
1988/12/25,ホープフルS(OP),2000,芝,OP,6.OP,3.芝 中以遠
1988/12/25,ジョッキーズG.P.(900万下),1800,芝,900万,8.2勝,2.芝 マイル
1988/12/25,’88フェアウェルS(1400万下),2000,芝,1400万,7.3勝,3.芝 中以遠
1988/12/25,有馬記念(G1),2500,芝,G1,1.G1,3.芝 中以遠
1988/12/25,4歳以上400万下,1800,ダ,400万,9.1勝,5.砂 マイル
1988/12/25,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1988/12/25,3歳新馬,1600,芝,新馬,o.未勝利,2.芝 マイル
1988/12/25,3歳400万下,1200,ダ,400万,9.1勝,4.砂 短距離
1988/12/25,4歳以上400万下,1800,ダ,400万,9.1勝,5.砂 マイル
1988/12/25,障害4歳以上400万下,3200,障,400万,9.1勝,7.障害
1988/12/25,4歳以上900万下,1800,ダ,900万,8.2勝,5.砂 マイル
1988/12/25,4歳以上900万下,1200,芝,900万,8.2勝,1.芝 短距離
1988/12/25,4歳以上900万下,2500,芝,900万,8.2勝,3.芝 中以遠
1988/12/25,シクラメンS(OP),2000,芝,OP,6.OP,3.芝 中以遠
1988/12/25,サンタクロースH(1400万下),1800,ダ,1400万,7.3勝,5.砂 マイル
1988/12/25,サンスポ阪神牝馬特別(G3),2000,芝,G3,3.G3,3.芝 中以遠
1988/12/25,4歳以上900万下,1200,芝,900万,8.2勝,1.芝 短距離
1988/12/24,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1988/12/24,3歳未勝利,2000,芝,未勝利,o.未勝利,3.芝 中以遠
1988/12/24,3歳新馬,1200,芝,新馬,o.未勝利,1.芝 短距離
1988/12/24,3歳新馬,1800,芝,新馬,o.未勝利,2.芝 マイル
1988/12/24,4歳以上400万下,1800,ダ,400万,9.1勝,5.砂 マイル
1988/12/24,4歳以上400万下,1200,ダ,400万,9.1勝,4.砂 短距離
1988/12/24,4歳以上400万下,1200,ダ,400万,9.1勝,4.砂 短距離
1988/12/24,4歳以上900万下,1800,ダ,900万,8.2勝,5.砂 マイル
1988/12/24,ひいらぎ賞(400万下),1600,芝,400万,9.1勝,2.芝 マイル
1988/12/24,中山大障害(秋)(G),4100,障,(G),4.(G),7.障害
1988/12/24,クリスマスS(OP),1600,芝,OP,6.OP,2.芝 マイル
1988/12/24,4歳以上900万下,1200,芝,900万,8.2勝,1.芝 短距離
1988/12/24,3歳未勝利,1800,ダ,未勝利,o.未勝利,5.砂 マイル
1988/12/24,3歳未勝利,2000,芝,未勝利,o.未勝利,3.芝 中以遠
1988/12/24,3歳新馬,1200,ダ,新馬,o.未勝利,4.砂 短距離
1988/12/24,4歳以上400万下,1200,ダ,400万,9.1勝,4.砂 短距離
1988/12/24,障害4歳以上未勝利,3000,障,未勝利,o.未勝利,7.障害
1988/12/24,3歳新馬,1400,芝,新馬,o.未勝利,1.芝 短距離
1988/12/24,4歳以上400万下,1200,ダ,400万,9.1勝,4.砂 短距離
1988/12/24,4歳以上400万下,1800,ダ,400万,9.1勝,5.砂 マイル
1988/12/24,千両賞(400万下),1600,芝,400万,9.1勝,2.芝 マイル
1988/12/24,夙川特別(900万下),1400,芝,900万,8.2勝,1.芝 短距離
1988/12/24,六甲S(OP),2000,芝,OP,6.OP,3.芝 中以遠
1988/12/24,4歳以上900万下,1800,ダ,900万,8.2勝,5.砂 マイル
1988/12/18,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1988/12/18,3歳未勝利,1600,芝,未勝利,o.未勝利,2.芝 マイル
1988/12/18,3歳未勝利,1600,芝,未勝利,o.未勝利,2.芝 マイル
1988/12/18,3歳未勝利,1200,芝,未勝利,o.未勝利,1.芝 短距離
1988/12/18,3歳新馬,1600,芝,新馬,o.未勝利,2.芝 マイル
1988/12/18,障害4歳以上未勝利,2700,障,未勝利,o.未勝利,7.障害
