開催日,レース名,距離,地肌,クラス,通時
2012/12/24,2歳未勝利,1800,ダ,未勝利,o.未勝利
2012/12/24,2歳未勝利,1200,ダ,未勝利,o.未勝利
2012/12/24,2歳未勝利,1800,ダ,未勝利,o.未勝利
2012/12/24,2歳未勝利,2000,芝,未勝利,o.未勝利
2012/12/24,2歳新馬,1600,芝,新馬,o.未勝利
2012/12/24,2歳新馬,1800,ダ,新馬,o.未勝利
2012/12/24,3歳以上500万下,2000,芝,500万,9.1勝
2012/12/24,3歳以上1000万下,1200,ダ,1000万,8.2勝
2012/12/24,冬桜賞(500万下),1200,ダ,500万,9.1勝
2012/12/24,クリスマスC(1600万下),2200,芝,1600万,7.3勝
2012/12/24,フェアウェルS(OP),1800,ダ,OP,6.OP
2012/12/24,ハッピーエンドC(1000万下),1200,芝,1000万,8.2勝
2012/12/24,2歳未勝利,1800,ダ,未勝利,o.未勝利
2012/12/24,2歳未勝利,1400,ダ,未勝利,o.未勝利
2012/12/24,2歳未勝利,2000,芝,未勝利,o.未勝利
2012/12/24,障害3歳以上未勝利,2970,障,未勝利,o.未勝利
2012/12/24,2歳新馬,1800,芝,新馬,o.未勝利
2012/12/24,2歳新馬,1200,ダ,新馬,o.未勝利
2012/12/24,3歳以上500万下,1800,ダ,500万,9.1勝
2012/12/24,3歳以上500万下,1200,ダ,500万,9.1勝
2012/12/24,万両賞(500万下),1600,芝,500万,9.1勝
2012/12/24,リボン賞(1000万下),1800,芝,1000万,8.2勝
2012/12/24,阪神C(G2),1400,芝,G2,2.G2
2012/12/24,2012ファイナルS(1600万下),1400,ダ,1600万,7.3勝
2012/12/23,2歳未勝利,1200,ダ,未勝利,o.未勝利
2012/12/23,2歳未勝利,1800,芝,未勝利,o.未勝利
2012/12/23,2歳新馬,1200,ダ,新馬,o.未勝利
2012/12/23,2歳新馬,1800,ダ,新馬,o.未勝利
2012/12/23,3歳以上500万下,1200,ダ,500万,9.1勝
2012/12/23,3歳以上1000万下,1800,ダ,1000万,8.2勝
2012/12/23,ホープフルS(OP),2000,芝,OP,6.OP
2012/12/23,グッドラックH(1000万下),2500,芝,1000万,8.2勝
2012/12/23,師走S(1600万下),1800,ダ,1600万,7.3勝
2012/12/23,有馬記念(G1),2500,芝,G1,1.G1
2012/12/23,ノエル賞(1000万下),1600,芝,1000万,8.2勝
2012/12/23,2歳未勝利,1800,ダ,未勝利,o.未勝利
2012/12/23,2歳未勝利,1400,ダ,未勝利,o.未勝利
2012/12/23,2歳未勝利,1600,芝,未勝利,o.未勝利
2012/12/23,障害3歳以上OP,3110,障,OP,6.OP
