開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
1992/05/23,3東京1,晴,5,障害4歳以上400万下,,障3100,10,良,3:29.2,107.0-0.0,マイフェイバリット,牧之瀬幸,[東]矢野進,ベルマーベラス,スマイルオンユー
1992/05/23,3東京1,晴,6,4歳未勝利,,芝1800,18,良,1:51.6,36.1-37.8,リワードリメイン,田中勝春,[東]佐藤征助,トウショウイカルス,マンジュデンアエラ
1992/05/23,3東京1,晴,7,4歳500万下,,ダ1400,12,良,1:25.0,35.3-37.5,システィーナ,柴田政人,[東]境征勝,ヤシャヒメ,クリーンアップ
1992/05/23,3東京1,晴,8,4歳以上500万下,,芝2300,13,良,2:23.0,31.7-36.2,ビーマイレディ,田中勝春,[東]前田禎,コメンテイター,アバド
1992/05/23,3東京1,晴,9,ガーベラ賞(500万下),,芝2000,13,良,2:02.6,37.5-36.9,ユウキファイター,田中勝春,[東]笹倉武久,トレヴィット,パーシャンスポット
1992/05/23,3東京1,晴,10,カーネーションC(OP),,芝1600,16,良,1:35.5,34.7-37.5,タレントダンサー,加用正,[西]瀬戸口勉,アトランタホース,ユキノジェンヌ
1992/05/23,3東京1,晴,11,府中S(1500万下),,芝1600,18,良,1:34.8,35.1-36.9,オリンピアロンド,加藤和宏,[東]古賀一隆,フェザーマイハット,ヤクモアサカゼ
1992/05/23,3東京1,晴,12,4歳以上900万下,,ダ1600,16,良,1:37.1,35.0-38.0,ファイブゴールド,田中勝春,[東]高橋祥泰,ポンポーワ,モガミデドン
1992/05/23,3阪神1,晴,1,4歳未勝利,,ダ1400,14,良,1:26.8,35.1-39.6,スマイルホーラー,松永幹夫,[西]飯田明弘,リュウフロリスト,ローリエアンドレ
1992/05/23,3阪神1,晴,2,4歳未勝利,,ダ1800,9,良,1:55.7,37.6-39.6,キングサイノス,西浦勝一,[西]目野哲也,ヤマトアプローズ,メイショウガルテス
1992/05/23,3阪神1,晴,3,4歳未勝利,,芝2000,10,良,2:04.8,38.5-36.3,エクセレントバイオ,村本善之,[西]松元省一,フェイロン,ナリタホープ
1992/05/23,3阪神1,晴,4,4歳未勝利,,芝1400,13,良,1:24.0,35.0-37.3,シンカキツバタ,岸滋彦,[西]宮本悳,ミリオンビクトリー,テンリアイドル
1992/05/23,3阪神1,曇,5,障害4歳以上未勝利,,障3000,11,良,3:19.5,104.0-0.0,ベストプレイヤー,東田幸男,[西]佐藤勇,スリーブルーチップ,バリモススキー
1992/05/23,3阪神1,曇,6,4歳未勝利,,芝1400,14,良,1:24.6,36.3-36.2,ハーモニーサウンド,増井裕,[西]白井寿昭,コウエイダイヤ,ヤングギャロップ
1992/05/23,3阪神1,小雨,7,4歳500万下,,芝2200,10,良,2:18.6,38.5-36.6,ウエストディーン,小谷内秀,[西]戸山為夫,ラックマンセル,マイネルキャプテン
1992/05/23,3阪神1,小雨,8,4歳以上500万下,,芝1600,15,良,1:36.8,34.9-37.2,ゴールデンナイト,村山明,[西]吉田三郎,フレックスマーチ,サニーフェロー
1992/05/23,3阪神1,曇,9,露草賞(500万下),,芝1600,11,良,1:37.6,37.0-37.3,キョウエイボーガン,松永幹夫,[西]野村彰彦,キクノエリザベス,エイシンメーイン
1992/05/23,3阪神1,曇,10,菩提樹S(900万下),,芝2200,10,良,2:17.8,36.8-39.2,サンキンタツマー,武豊,[西]橋口弘次,マヤノユウリ,ランディーバーン
1992/05/23,3阪神1,曇,11,摩耶S(OP),,ダ1800,11,良,1:51.4,36.8-37.2,マンジュデンカブト,南井克巳,[西]坪正直,ヘイセイシルバー,ヘラクレス
1992/05/23,3阪神1,曇,12,4歳以上900万下,,芝2000,9,良,2:04.7,37.3-38.2,トーワチャペル,角田晃一,[西]佐山優,スリーヤー,ダイタクミストラル
