開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
2022/01/10,1中山4,曇,1,3歳未勝利,,ダ1200,16,良,1:12.2,33.9-38.3,リオンラファール,Ｍ．デム,[東]矢野英一,ニシノコニャック,ミンナノユメミノル,2:３歳,520.0
2022/01/10,1中山4,曇,2,3歳未勝利,,ダ1800,16,良,1:56.6,37.0-41.0,カランセ,伊藤工真,[東]金成貴史,ネイリッカ,チャメドレア,2:３歳,520.0
2022/01/10,1中山4,曇,3,3歳未勝利,,ダ1800,15,良,1:57.3,37.9-40.4,サノラキ,松岡正海,[東]中舘英二,ワープスピード,サパテアール,2:３歳,520.0
2022/01/10,1中山4,曇,4,3歳新馬,,ダ1200,15,良,1:12.2,34.2-38.0,ラブリネスオーバー,三浦皇成,[東]高柳瑞樹,ハクサンセーラー,アレクサンドラ,2:３歳,600.0
2022/01/10,1中山4,曇,5,3歳未勝利,,芝2000,17,良,2:04.1,36.7-37.2,スリーエクスプレス,横山武史,[東]伊藤圭三,マイネルメサイア,ルールオブルーラー,2:３歳,520.0
2022/01/10,1中山4,曇,6,3歳新馬,,ダ1800,11,良,1:56.8,38.6-38.8,キングズソード,藤岡佑介,[西]寺島良,レッドラパルマ,ナツイチバン,2:３歳,600.0
2022/01/10,1中山4,曇,7,4歳以上1勝クラス,,ダ1800,16,良,1:54.3,38.2-38.4,ロスコフ,横山武史,[東]久保田貴,ワカミヤクオーレ,マサカウマザンマイ,4:４歳以上,770.0
2022/01/10,1中山4,曇,8,4歳以上2勝クラス,,ダ1200,16,良,1:11.4,34.2-37.2,キミワテル,ルメール,[東]武藤善則,タケルラスティ,コパシーナ,4:４歳以上,1110.0
2022/01/10,1中山4,曇,9,成田特別(2勝クラス),,ダ2400,14,良,2:36.5,36.7-38.9,レッドソルダード,大野拓弥,[西]奥村豊,オンザフェーヴル,ポップフランセ,4:４歳以上,1510.0
2022/01/10,1中山4,曇,10,迎春S(3勝クラス),,芝2200,15,良,2:14.7,37.8-35.3,スマイル,ルメール,[東]堀宣行,キングオブドラゴン,エドノフェリーチェ,4:４歳以上,1840.0
2022/01/10,1中山4,曇,11,フェアリーS(G3),,芝1600,16,良,1:35.2,35.5-35.3,ライラック,Ｍ．デム,[東]相沢郁,スターズオンアース,ビジュノワール,2:３歳,3700.0
2022/01/10,1中山4,曇,12,4歳以上1勝クラス,,芝1600,15,良,1:34.3,34.9-35.8,スリートップキズナ,石橋脩,[東]伊藤圭三,パラレルキャリア,コスモアディラート,4:４歳以上,770.0
2022/01/10,1中京4,晴,1,3歳未勝利,,ダ1200,16,良,1:13.6,35.7-37.9,トゥーレツリー,横山典弘,[西]安田翔伍,ポメラート,メイショウソウゲツ,2:３歳,520.0
2022/01/10,1中京4,晴,2,3歳未勝利,,ダ1800,10,良,1:54.3,37.6-38.3,エヴィダンシア,岩田望来,[西]藤原英昭,ニューダイアリーズ,スペクトログラム,2:３歳,520.0
2022/01/10,1中京4,晴,3,3歳未勝利,,ダ1400,15,良,1:26.0,34.7-38.8,ベルドラゴ,小沢大仁,[西]庄野靖志,ビーストアタック,マノンルージュ,2:３歳,520.0
2022/01/10,1中京4,晴,4,3歳新馬,,ダ1800,15,良,1:54.7,37.7-38.2,ハピ,和田竜二,[西]大久保龍,モディカ,ランスオブウェイブ,2:３歳,600.0
2022/01/10,1中京4,晴,5,3歳未勝利,,芝2000,17,良,2:00.8,36.0-35.0,セルケト,Ｃ．デム,[西]斉藤崇史,ヘクトパスカル,モンステラマオ,2:３歳,520.0
2022/01/10,1中京4,晴,6,3歳1勝クラス,,芝1200,10,良,1:08.9,34.4-34.5,エテルナメンテ,横山琉人,[東]小島茂之,ピンクマクフィー,ゼロドラゴン,2:３歳,750.0
2022/01/10,1中京4,晴,7,4歳以上1勝クラス,,ダ1900,11,良,2:00.2,31.5-37.7,スレイマン,Ｃ．デム,[西]池添学,ワセダハーツ,ワイドレッジャドロ,4:４歳以上,770.0
2022/01/10,1中京4,晴,8,4歳以上2勝クラス,,ダ1800,10,良,1:53.1,37.6-38.4,クレデンザ,吉田隼人,[西]辻野泰之,ダンツチョイス,シーオブザムーン,4:４歳以上,1110.0
