開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
2019/02/16,2京都7,曇,1,3歳未勝利,,ダ1800,13,良,1:55.9,37.0-38.8,メイショウイフウ,武豊,[西]荒川義之,ダノングリスター,セオリー
2019/02/16,2京都7,曇,2,3歳未勝利,,ダ1200,14,良,1:12.8,35.9-36.9,シャドウハンター,ルメール,[西]藤岡健一,オーサムラン,セイドアモール
2019/02/16,2京都7,曇,3,3歳新馬,,ダ1800,16,良,1:55.6,37.8-38.1,テーオーキャンディ,川須栄彦,[西]梅田智之,タガノハツコイ,ジュンサロベツ
2019/02/16,2京都7,曇,4,障害4歳以上未勝利,,障2910,14,良,3:17.1,108.0-0.0,ノーブルサンズ,江田勇亮,[東]田村康仁,ゲネラルプローベ,シゲルサツマイモ
2019/02/16,2京都7,曇,5,3歳未勝利,,芝1600,16,良,1:35.7,34.8-36.0,サダムゲンヤ,川須栄彦,[西]中尾秀正,オーロトラジェ,トラピッチェ
2019/02/16,2京都7,曇,6,3歳500万下,,芝1400,8,良,1:23.1,35.6-34.9,キュールエサクラ,川田将雅,[西]中内田充,ビックピクチャー,ブリッツアウェイ
2019/02/16,2京都7,曇,7,4歳以上500万下,,ダ1400,16,良,1:25.2,35.9-36.7,ハゼル,Ｍ．デム,[西]鈴木孝志,アタミ,マラードザレコード
2019/02/16,2京都7,曇,8,4歳以上1000万下,,ダ1900,9,良,1:59.2,30.4-37.7,ヒストリーメイカー,畑端省吾,[西]作田誠二,マイネルカイノン,オノリス
2019/02/16,2京都7,晴,9,つばき賞(500万下),,芝1800,8,良,1:47.3,34.8-36.6,ワールドプレミア,武豊,[西]友道康夫,ユニコーンライオン,ルモンド
2019/02/16,2京都7,晴,10,河原町S(1600万下),,ダ1400,12,良,1:24.0,35.4-36.4,サヴィ,藤岡佑介,[西]中内田充,アディラート,メイショウラケーテ
2019/02/16,2京都7,晴,11,京都牝馬S(G3),,芝1400,17,良,1:21.0,34.7-34.7,デアレガーロ,池添謙一,[東]大竹正博,リナーテ,アマルフィコースト
2019/02/16,2京都7,晴,12,4歳以上1000万下,,ダ1200,16,良,1:12.0,35.1-36.9,ハニージェイド,川田将雅,[西]鮫島一歩,メイショウアリソン,スマートアルタイル
2019/02/16,1小倉3,曇,1,3歳未勝利,,ダ1700,16,稍,1:49.7,29.7-40.3,アポロモーリアン,横山武史,[東]鈴木伸尋,オイシイナア,セブンティサン
2019/02/16,1小倉3,曇,2,3歳未勝利,,ダ1000,14,稍,1:00.5,34.6-37.5,サトノアイビス,西村淳也,[西]橋口慎介,クーファピーカブー,ナムラマッチェリ
2019/02/16,1小倉3,曇,3,3歳未勝利,,芝2000,18,良,2:01.8,35.1-36.1,ナリス,藤岡康太,[西]今野貞一,シャムラマート,リヴォルバー
2019/02/16,1小倉3,曇,4,3歳未勝利,,芝1200,18,良,1:08.9,34.3-34.6,アスタールビー,西村淳也,[西]南井克巳,トップソリスト,リライト
2019/02/16,1小倉3,小雨,5,3歳未勝利,,芝1800,16,良,1:49.5,35.7-37.2,サマーセント,吉田隼人,[西]斉藤崇史,ワイルドオーキッド,ピースフルサンデー
2019/02/16,1小倉3,小雨,6,4歳以上500万下,,ダ1700,12,稍,1:47.1,29.8-37.4,ピンキージョーンズ,丹内祐次,[東]清水英克,テイエムソレイユ,ブルベアクワイ
2019/02/16,1小倉3,小雨,7,4歳以上500万下,,芝2600,11,良,2:41.3,36.9-35.8,ドリームスピリット,横山武史,[東]武藤善則,ミレフォリウム,サダムラピュタ
2019/02/16,1小倉3,曇,8,4歳以上500万下,,ダ1700,13,稍,1:46.1,30.7-37.2,ライナス,吉田隼人,[西]浜田多実,ショウナンサリュー,レンジストライク
