通時,適性,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1.G1,1.芝 短距離,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1.G1,2.芝 マイル,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1.G1,3.芝 中以遠,,,,,,,,,,3,1,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13
1.G1,4.砂 短距離,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1.G1,5.砂 マイル,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2
1.G1,6.砂 中以遠,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,,,,,,,,,,,1,,,,
1.G1,7.障害,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2.G2,1.芝 短距離,,,,,,,,,,,,5,6,6,6,6,6,6,6,6,6,7,6,6,6,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6
2.G2,2.芝 マイル,,,,,,,,,,1,,5,5,5,5,5,5,5,5,5,5,5,6,6,6,7,7,7,7,7,7,6,7,7,7,7,8,8,8,8,8,9,9,10,10,10,11,11
2.G2,3.芝 中以遠,,,,,,,,,,,1,14,18,18,18,18,18,18,18,19,20,18,20,20,20,18,20,20,20,20,20,20,19,19,19,19,19,19,19,20,20,20,18,18,18,19,19,19
2.G2,5.砂 マイル,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1
2.G2,6.砂 中以遠,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
